BioSample_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	source_name_s	stimulation_s	strain_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	Library_Name_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	cell_type_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN02256999	17-Jul-13	328	235	SRR936386	SRS460562	GSM1189420	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256999	17-Jul-13	324	232	SRR936387	SRS460562	GSM1189420	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257003	17-Jul-13	107	75	SRR936388	SRS460563	GSM1189421	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257003	17-Jul-13	113	80	SRR936389	SRS460563	GSM1189421	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257003	17-Jul-13	112	79	SRR936390	SRS460563	GSM1189421	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257003	17-Jul-13	112	79	SRR936391	SRS460563	GSM1189421	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257002	17-Jul-13	307	221	SRR936392	SRS460564	GSM1189422	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257002	17-Jul-13	304	219	SRR936393	SRS460564	GSM1189422	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257002	17-Jul-13	301	216	SRR936394	SRS460564	GSM1189422	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257002	17-Jul-13	292	210	SRR936395	SRS460564	GSM1189422	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256989	17-Jul-13	156	112	SRR936396	SRS460565	GSM1189423	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256989	17-Jul-13	149	107	SRR936397	SRS460565	GSM1189423	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256989	17-Jul-13	136	98	SRR936398	SRS460565	GSM1189423	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256989	17-Jul-13	121	87	SRR936399	SRS460565	GSM1189423	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256992	17-Jul-13	221	159	SRR936400	SRS460566	GSM1189424	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256992	17-Jul-13	217	156	SRR936401	SRS460566	GSM1189424	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256992	17-Jul-13	192	139	SRR936402	SRS460566	GSM1189424	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256992	17-Jul-13	164	118	SRR936403	SRS460566	GSM1189424	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257008	17-Jul-13	550	397	SRR936404	SRS460567	GSM1189425	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257008	17-Jul-13	542	392	SRR936405	SRS460567	GSM1189425	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257008	17-Jul-13	538	388	SRR936406	SRS460567	GSM1189425	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257008	17-Jul-13	535	386	SRR936407	SRS460567	GSM1189425	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257017	17-Jul-13	220	154	SRR936408	SRS460568	GSM1189426	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257017	17-Jul-13	216	151	SRR936409	SRS460568	GSM1189426	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257017	17-Jul-13	214	150	SRR936410	SRS460568	GSM1189426	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257017	17-Jul-13	207	145	SRR936411	SRS460568	GSM1189426	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256997	17-Jul-13	184	130	SRR936412	SRS460569	GSM1189427	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256997	17-Jul-13	175	124	SRR936413	SRS460569	GSM1189427	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256997	17-Jul-13	164	116	SRR936414	SRS460569	GSM1189427	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256997	17-Jul-13	143	101	SRR936415	SRS460569	GSM1189427	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257023	17-Jul-13	293	211	SRR936416	SRS460570	GSM1189428	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257023	17-Jul-13	294	211	SRR936417	SRS460570	GSM1189428	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257023	17-Jul-13	290	208	SRR936418	SRS460570	GSM1189428	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257023	17-Jul-13	286	205	SRR936419	SRS460570	GSM1189428	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257007	17-Jul-13	279	200	SRR936420	SRS460571	GSM1189429	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257007	17-Jul-13	293	211	SRR936421	SRS460571	GSM1189429	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257007	17-Jul-13	289	207	SRR936422	SRS460571	GSM1189429	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257007	17-Jul-13	295	212	SRR936423	SRS460571	GSM1189429	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257009	17-Jul-13	456	330	SRR936424	SRS460572	GSM1189430	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257009	17-Jul-13	442	319	SRR936425	SRS460572	GSM1189430	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257009	17-Jul-13	442	319	SRR936426	SRS460572	GSM1189430	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257009	17-Jul-13	423	305	SRR936427	SRS460572	GSM1189430	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257025	17-Jul-13	315	226	SRR936428	SRS460573	GSM1189431	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257025	17-Jul-13	297	213	SRR936429	SRS460573	GSM1189431	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257025	17-Jul-13	298	213	SRR936430	SRS460573	GSM1189431	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257025	17-Jul-13	266	190	SRR936431	SRS460573	GSM1189431	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256841	17-Jul-13	590	427	SRR936432	SRS460574	GSM1189432	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256841	17-Jul-13	569	411	SRR936433	SRS460574	GSM1189432	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256841	17-Jul-13	572	413	SRR936434	SRS460574	GSM1189432	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256841	17-Jul-13	556	402	SRR936435	SRS460574	GSM1189432	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256863	17-Jul-13	400	289	SRR936436	SRS460575	GSM1189433	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256863	17-Jul-13	384	277	SRR936437	SRS460575	GSM1189433	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256863	17-Jul-13	387	279	SRR936438	SRS460575	GSM1189433	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256863	17-Jul-13	365	263	SRR936439	SRS460575	GSM1189433	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256846	17-Jul-13	386	278	SRR936440	SRS460576	GSM1189434	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256846	17-Jul-13	374	269	SRR936441	SRS460576	GSM1189434	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256846	17-Jul-13	376	271	SRR936442	SRS460576	GSM1189434	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256846	17-Jul-13	363	261	SRR936443	SRS460576	GSM1189434	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256872	17-Jul-13	245	176	SRR936444	SRS460577	GSM1189435	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256872	17-Jul-13	226	161	SRR936445	SRS460577	GSM1189435	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256872	17-Jul-13	226	161	SRR936446	SRS460577	GSM1189435	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256872	17-Jul-13	209	149	SRR936447	SRS460577	GSM1189435	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256852	17-Jul-13	174	125	SRR936448	SRS460578	GSM1189436	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256852	17-Jul-13	160	114	SRR936449	SRS460578	GSM1189436	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256852	17-Jul-13	157	113	SRR936450	SRS460578	GSM1189436	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256852	17-Jul-13	138	99	SRR936451	SRS460578	GSM1189436	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256859	17-Jul-13	448	325	SRR936452	SRS460579	GSM1189437	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256859	17-Jul-13	439	318	SRR936453	SRS460579	GSM1189437	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256859	17-Jul-13	440	319	SRR936454	SRS460579	GSM1189437	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
